"x","x_orig","fit","se","or","lo","hi","Spec","Bacteria","Variable","Variable_label"
-1.51473125361863,2.32464929859719,0.00376479846542001,0.0690973123895154,1.00377189422106,0.87663379987507,1.14934881106767,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.50040303159574,2.4248496993988,0.00569466299316835,0.069026089581718,1.00571090840922,0.878449837999845,1.15140829622816,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.48607480957285,2.5250501002004,0.00761115844825783,0.068949057305437,1.00764019694016,0.880267893091013,1.15344291716047,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.47174658754996,2.625250501002,0.00951417077954602,0.0688657233422999,1.00955957438066,0.882088712496613,1.15545128260279,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.45741836552706,2.72545090180361,0.0114035859358908,0.0687756058121453,1.01146885468531,0.883913031839761,1.15743201779592,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.44309014350417,2.82565130260521,0.0132792898661495,0.0686782332899704,1.01336785121223,0.885741574657074,1.15938376525691,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.42876192148128,2.92585170340681,0.0151411685191801,0.0685731449104687,1.01525637673919,0.887575052061151,1.16130518553442,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.41443369945839,3.02605210420842,0.01698910784384,0.068459890462801,1.01713424347989,0.889414162422331,1.16319495795048,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.4001054774355,3.12625250501002,0.0188229937889869,0.0683380304782214,1.0190012631006,0.891259591064959,1.1650517813333,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.3857772554126,3.22645290581162,0.0206427123034785,0.0682071363131664,1.02085724673709,0.893112009973312,1.16687437474588,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.37144903338971,3.32665330661323,0.0224481493361724,0.0680667902304058,1.0227020050118,0.89497207750229,1.1686614782152,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.35712081136682,3.42685370741483,0.0242391908359262,0.0679165854808508,1.02453534805131,0.896840438087905,1.17041185346699,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.34279258934393,3.52705410821643,0.0260157227515976,0.0677561263886253,1.02635708550409,0.898717721952511,1.17212428467068,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.32846436732104,3.62725450901804,0.0277776310320442,0.0675850284420274,1.02816702655858,0.90060454479961,1.17379757920001,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.31413614529815,3.72745490981964,0.0295248016261237,0.0674029183930399,1.02996497996147,0.902501507492916,1.17543056841416,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.29980792327525,3.82765531062124,0.0312571204826937,0.067209434368106,1.03175075403634,0.904409195714203,1.17702210846487,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.28547970125236,3.92785571142285,0.0329744735506119,0.0670042259929525,1.0335241567025,0.906328179594241,1.17857108113513,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
